"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"6748","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https…",FALSE,0,NA,2018-02-16 01:27:19,FALSE,NA,"964310188386897925",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","skywxIkers",5511,TRUE,FALSE,NA,NA
"6749","Texas teacher dies from flu after deeming antiviral drug too costly",FALSE,0,NA,2018-02-16 01:27:19,FALSE,NA,"964310188344819713",NA,"<a href=""http://www.jasset.co.jp/"" rel=""nofollow"">bantoensogi</a>","bantoensogi",0,FALSE,FALSE,NA,NA
"6750","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https…",FALSE,0,NA,2018-02-16 01:27:19,FALSE,NA,"964310187581607936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","diamondsamosa",5511,TRUE,FALSE,NA,NA
"6751","Started off this day with what I thought were allergies and now I'm home from work with a fever and chills. Guess w… https://t.co/C9gPzSazqI",FALSE,0,NA,2018-02-16 01:27:16,TRUE,NA,"964310175413952512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","senpairedd",0,FALSE,FALSE,NA,NA
"6752","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https…",FALSE,0,NA,2018-02-16 01:27:15,FALSE,NA,"964310171932594178",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vvviiiiaaa",5511,TRUE,FALSE,NA,NA
"6753","RT @NYTHealth: Early C.D.C. study says flu shots are 51 percent effective in children, much better than the 10 percent that was predicted.…",FALSE,0,NA,2018-02-16 01:27:13,FALSE,NA,"964310163711766528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_tardigrada_",57,TRUE,FALSE,NA,NA
"6754","RT @BeautyOfAnAries: Dont let this lil weather fool yall, its still flu season.",FALSE,0,NA,2018-02-16 01:27:11,FALSE,NA,"964310156153671681",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cdgait",187,TRUE,FALSE,NA,NA
"6755","RT @PaulSaxMD: If there were a vitamin or supplement that had 36% effectiveness in preventing influenza (including preventing some hospital…",FALSE,0,NA,2018-02-16 01:27:11,FALSE,NA,"964310155507781632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ProutAndrew",42,TRUE,FALSE,NA,NA
"6756","Woman who beat 1 percent survival odds after flu urges vaccination - https://t.co/3fOWtUgD3a https://t.co/WKYdfTaA0s",FALSE,0,NA,2018-02-16 01:27:11,FALSE,NA,"964310154178125825",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","BitzHealth",0,FALSE,FALSE,NA,NA
"6757","RT @3CGblog: Home remedies, vitamins or supplements? Which steps do you take to stay safe during the cold and flu season? Check out the sho…",FALSE,0,NA,2018-02-16 01:27:10,FALSE,NA,"964310150222786560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rockinmama",88,TRUE,FALSE,NA,NA
"6758","When you've felt and looked like ass for months bc of cold/flu season, thank God Snapchat and… https://t.co/XSdNmZxVF9",FALSE,0,NA,2018-02-16 01:27:09,FALSE,NA,"964310144287784960",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","VannyBanany",0,FALSE,FALSE,NA,NA
"6759","Finally recovering from the flu! The ponies had a few days off, but are back in work as of… https://t.co/wBhvXZhYMj",FALSE,0,NA,2018-02-16 01:27:08,FALSE,NA,"964310142555652097",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","IzzieStehle",0,FALSE,FALSE,NA,NA
"6760","Flu Vaccine Less Effective Than Earlier Estimates This year's flu shot is slight https://t.co/wnxqRR5H8n",FALSE,0,NA,2018-02-16 01:27:08,FALSE,NA,"964310141159067648",NA,"<a href=""http://natura.tech"" rel=""nofollow"">natura_tech</a>","natura_tech",0,FALSE,FALSE,NA,NA
"6761","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https…",FALSE,0,NA,2018-02-16 01:27:06,FALSE,NA,"964310135362539520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rejinaaaa_",5511,TRUE,FALSE,NA,NA
"6762","I wrote today, in the haze of my flu. I'll read it tomorrow and laugh, I'm sure. Or cry. Both probably.
#fluseason #amwriting",FALSE,1,NA,2018-02-16 01:27:06,FALSE,NA,"964310135177924609",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cassalexan",0,FALSE,FALSE,NA,NA
